crop_path,final_pred
data\input_images\image_1\crop_0001_conf_0.98.jpg,__Unknown__
data\input_images\image_1\crop_0002_conf_0.98.jpg,__Unknown__
data\input_images\image_1\crop_0003_conf_0.98.jpg,__Unknown__
data\input_images\image_1\crop_0004_conf_0.97.jpg,Mabel__Mabel Rosquinha Mabel Sabor Banana e Canela
data\input_images\image_1\crop_0005_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0006_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0007_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0008_conf_0.97.jpg,Mabel__Mabel Rosquinha Mabel Sabor Coco
data\input_images\image_1\crop_0009_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0010_conf_0.97.jpg,Mabel__Mabel Rosquinha Mabel Sabor Coco
data\input_images\image_1\crop_0011_conf_0.97.jpg,Mabel__Mabel Rosquinha Mabel Sabor Coco
data\input_images\image_1\crop_0012_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0013_conf_0.97.jpg,Mabel__Mabel Rosquinha Mabel Sabor Coco
data\input_images\image_1\crop_0014_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0015_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0016_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0017_conf_0.97.jpg,Mabel__Mabel Rosquinha Mabel Sabor Coco
data\input_images\image_1\crop_0018_conf_0.97.jpg,Mabel__Mabel Rosquinha Mabel Sabor Coco
data\input_images\image_1\crop_0019_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0020_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0021_conf_0.97.jpg,Mabel__Mabel Rosquinha Mabel Sabor Coco
data\input_images\image_1\crop_0022_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0023_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0024_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0025_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0026_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0027_conf_0.97.jpg,Mabel__Mabel Rosquinha Mabel Sabor Leite
data\input_images\image_1\crop_0028_conf_0.97.jpg,Mabel__Mabel Rosquinha Mabel Sabor Banana e Canela
data\input_images\image_1\crop_0029_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0030_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0031_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0032_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0033_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0034_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0035_conf_0.97.jpg,Mabel__Mabel Rosquinha Mabel Sabor Banana e Canela
data\input_images\image_1\crop_0036_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0037_conf_0.97.jpg,Mabel__Mabel Amanteigado Mabel Sabor Leite
data\input_images\image_1\crop_0038_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0039_conf_0.97.jpg,Mabel__Mabel Rosquinha Mabel Sabor Banana e Canela
data\input_images\image_1\crop_0040_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0041_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0042_conf_0.97.jpg,Mabel__Mabel Rosquinha Mabel Sabor Coco
data\input_images\image_1\crop_0043_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0044_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0045_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0046_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0047_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0048_conf_0.97.jpg,__Unknown__
data\input_images\image_1\crop_0049_conf_0.96.jpg,__Unknown__
data\input_images\image_1\crop_0050_conf_0.96.jpg,__Unknown__
