final_pred,is_rejected,reject_reasons,effective_score_threshold,threshold_offset,best_label,best_score,second_label,second_score,margin,ranked_classes,neighbors,image_path
__Unknown__,True,['low_score'],0.74,0.0,Adoralle__Adoralle Alimentos Rosquinhas Coco,0.6329025387763977,,,,"[('Adoralle__Adoralle Alimentos Rosquinhas Coco', 0.6329025387763977)]","[{'label': 'Adoralle__Adoralle Alimentos Rosquinhas Coco', 'score': 0.6459766626358032, 'path': 'data/datasetv6_crops\\Adoralle\\Adoralle Alimentos Rosquinhas Coco\\crop_00176_IMG_20260610_111623939_jpg.rf.3ab52977b4bcdded408dd84594455fd0_cls0_obj20.jpg'}, {'label': 'Adoralle__Adoralle Alimentos Rosquinhas Coco', 'score': 0.6367824077606201, 'path': 'data/datasetv6_crops\\Adoralle\\Adoralle Alimentos Rosquinhas Coco\\train_WhatsApp-Image-2026-03-25-at-00-34-17_jpeg.rf.6ee1f01097c360d3605332562fd5c8ae_crop_8.jpg'}, {'label': 'Adoralle__Adoralle Alimentos Rosquinhas Coco', 'score': 0.6334983110427856, 'path': 'data/datasetv6_crops\\Adoralle\\Adoralle Alimentos Rosquinhas Coco\\crop_00180_IMG_20260610_111623939_jpg.rf.3ab52977b4bcdded408dd84594455fd0_cls0_obj24.jpg'}, {'label': 'Adoralle__Adoralle Alimentos Rosquinhas Coco', 'score': 0.6241419911384583, 'path': 'data/datasetv6_crops\\Adoralle\\Adoralle Alimentos Rosquinhas Coco\\crop_00174_IMG_20260610_111623939_jpg.rf.3ab52977b4bcdded408dd84594455fd0_cls0_obj18.jpg'}, {'label': 'Adoralle__Adoralle Alimentos Rosquinhas Coco', 'score': 0.6241133213043213, 'path': 'data/datasetv6_crops\\Adoralle\\Adoralle Alimentos Rosquinhas Coco\\train_IMG_0484-REDACTED_jpeg.rf.8ace1d1de4156ba5b78fb0e1d45bc3c8_crop_22.jpg'}]",data\input_images\image_1\crop_0001_conf_0.98.jpg
__Unknown__,True,['low_score'],0.74,0.0,RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO,0.6071107983589172,,,,"[('RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO', 0.6071107983589172)]","[{'label': 'RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO', 'score': 0.6348119974136353, 'path': 'data/datasetv6_crops\\RANCHEIRO\\RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO\\crop_00113_IMG_0932_JPG.rf.6b9379287f20aef455e88907324b0998_cls0_obj3.jpg'}, {'label': 'RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO', 'score': 0.6252894401550293, 'path': 'data/datasetv6_crops\\RANCHEIRO\\RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO\\crop_00107_IMG_0859_JPG.rf.5aa256f34fff06f3eb25948617337682_cls0_obj1.jpg'}, {'label': 'RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO', 'score': 0.6063411235809326, 'path': 'data/datasetv6_crops\\RANCHEIRO\\RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO\\crop_00106_IMG_0859_JPG.rf.5aa256f34fff06f3eb25948617337682_cls0_obj0.jpg'}, {'label': 'RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO', 'score': 0.5929912328720093, 'path': 'data/datasetv6_crops\\RANCHEIRO\\RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO\\crop_00112_IMG_0932_JPG.rf.6b9379287f20aef455e88907324b0998_cls0_obj2.jpg'}, {'label': 'RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO', 'score': 0.5761201977729797, 'path': 'data/datasetv6_crops\\RANCHEIRO\\RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO\\train_1_jpg.rf.a16f72e270cb47d97c21936e105f48a1_crop_15.jpg'}]",data\input_images\image_1\crop_0002_conf_0.98.jpg
__Unknown__,True,['low_score'],0.74,0.0,RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO,0.7009747922420502,Adoralle__Adoralle Alimentos Rosquinhas Coco,0.6826838652292887,0.01829092701276147,"[('RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO', 0.7009747922420502), ('Adoralle__Adoralle Alimentos Rosquinhas Coco', 0.6826838652292887)]","[{'label': 'RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO', 'score': 0.711752712726593, 'path': 'data/datasetv6_crops\\RANCHEIRO\\RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO\\crop_00113_IMG_0932_JPG.rf.6b9379287f20aef455e88907324b0998_cls0_obj3.jpg'}, {'label': 'RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO', 'score': 0.6901968717575073, 'path': 'data/datasetv6_crops\\RANCHEIRO\\RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO\\crop_00107_IMG_0859_JPG.rf.5aa256f34fff06f3eb25948617337682_cls0_obj1.jpg'}, {'label': 'Adoralle__Adoralle Alimentos Rosquinhas Coco', 'score': 0.6841920614242554, 'path': 'data/datasetv6_crops\\Adoralle\\Adoralle Alimentos Rosquinhas Coco\\crop_00174_IMG_20260610_111623939_jpg.rf.3ab52977b4bcdded408dd84594455fd0_cls0_obj18.jpg'}, {'label': 'Adoralle__Adoralle Alimentos Rosquinhas Coco', 'score': 0.6821428537368774, 'path': 'data/datasetv6_crops\\Adoralle\\Adoralle Alimentos Rosquinhas Coco\\train_IMG_0484-REDACTED_jpeg.rf.8ace1d1de4156ba5b78fb0e1d45bc3c8_crop_9.jpg'}, {'label': 'Adoralle__Adoralle Alimentos Rosquinhas Coco', 'score': 0.6817166805267334, 'path': 'data/datasetv6_crops\\Adoralle\\Adoralle Alimentos Rosquinhas Coco\\crop_00291_Foto-10-06-2026-14-32-49_jpg.rf.c0ad90cfb6158320698c586da01ed36c_cls0_obj12.jpg'}]",data\input_images\image_1\crop_0003_conf_0.98.jpg
Mabel__Mabel Rosquinha Mabel Sabor Banana e Canela,False,[],0.74,0.0,Mabel__Mabel Rosquinha Mabel Sabor Banana e Canela,0.8726140658060709,Mabel__Mabel Rosquinha Mabel Sabor Coco,0.8607821464538574,0.011831919352213505,"[('Mabel__Mabel Rosquinha Mabel Sabor Banana e Canela', 0.8726140658060709), ('Mabel__Mabel Rosquinha Mabel Sabor Coco', 0.8607821464538574)]","[{'label': 'Mabel__Mabel Rosquinha Mabel Sabor Banana e Canela', 'score': 0.8791071176528931, 'path': 'data/datasetv6_crops\\Mabel\\Mabel Rosquinha Mabel Sabor Banana e Canela\\train_IMG_20260326_191019-REDACTED_jpg.rf.f418f9ba031ed8b9ffc19fa5fb7fd663_crop_6.jpg'}, {'label': 'Mabel__Mabel Rosquinha Mabel Sabor Banana e Canela', 'score': 0.8724870085716248, 'path': 'data/datasetv6_crops\\Mabel\\Mabel Rosquinha Mabel Sabor Banana e Canela\\train_IMG_0534-REDACTED_jpeg.rf.140b3850b84cb326577608ba6b531e88_crop_29.jpg'}, {'label': 'Mabel__Mabel Rosquinha Mabel Sabor Banana e Canela', 'score': 0.8662480711936951, 'path': 'data/datasetv6_crops\\Mabel\\Mabel Rosquinha Mabel Sabor Banana e Canela\\train_IMG_2111_jpeg.rf.decffa6396f7c4d02f995d0c382f5699_crop_7.jpg'}, {'label': 'Mabel__Mabel Rosquinha Mabel Sabor Coco', 'score': 0.8630950450897217, 'path': 'data/datasetv6_crops\\Mabel\\Mabel Rosquinha Mabel Sabor Coco\\crop_00167_IMG_20260610_111623939_jpg.rf.3ab52977b4bcdded408dd84594455fd0_cls0_obj11.jpg'}, {'label': 'Mabel__Mabel Rosquinha Mabel Sabor Coco', 'score': 0.8584692478179932, 'path': 'data/datasetv6_crops\\Mabel\\Mabel Rosquinha Mabel Sabor Coco\\crop_00088_IMG_0831_JPG.rf.4e39ef000705ae9f589973a99b200d45_cls0_obj0.jpg'}]",data\input_images\image_1\crop_0004_conf_0.97.jpg
__Unknown__,True,['low_score'],0.74,0.0,Adoralle__Adoralle Alimentos Rosquinhas Coco,0.6118436336517334,,,,"[('Adoralle__Adoralle Alimentos Rosquinhas Coco', 0.6118436336517334)]","[{'label': 'Adoralle__Adoralle Alimentos Rosquinhas Coco', 'score': 0.6312965154647827, 'path': 'data/datasetv6_crops\\Adoralle\\Adoralle Alimentos Rosquinhas Coco\\crop_00176_IMG_20260610_111623939_jpg.rf.3ab52977b4bcdded408dd84594455fd0_cls0_obj20.jpg'}, {'label': 'Adoralle__Adoralle Alimentos Rosquinhas Coco', 'score': 0.6106550097465515, 'path': 'data/datasetv6_crops\\Adoralle\\Adoralle Alimentos Rosquinhas Coco\\crop_00180_IMG_20260610_111623939_jpg.rf.3ab52977b4bcdded408dd84594455fd0_cls0_obj24.jpg'}, {'label': 'Adoralle__Adoralle Alimentos Rosquinhas Coco', 'score': 0.6084893345832825, 'path': 'data/datasetv6_crops\\Adoralle\\Adoralle Alimentos Rosquinhas Coco\\train_IMG_0484-REDACTED_jpeg.rf.8ace1d1de4156ba5b78fb0e1d45bc3c8_crop_22.jpg'}, {'label': 'Adoralle__Adoralle Alimentos Rosquinhas Coco', 'score': 0.6066687107086182, 'path': 'data/datasetv6_crops\\Adoralle\\Adoralle Alimentos Rosquinhas Coco\\crop_00174_IMG_20260610_111623939_jpg.rf.3ab52977b4bcdded408dd84594455fd0_cls0_obj18.jpg'}, {'label': 'Adoralle__Adoralle Alimentos Rosquinhas Coco', 'score': 0.6021085977554321, 'path': 'data/datasetv6_crops\\Adoralle\\Adoralle Alimentos Rosquinhas Coco\\train_WhatsApp-Image-2026-03-25-at-00-34-17_jpeg.rf.6ee1f01097c360d3605332562fd5c8ae_crop_8.jpg'}]",data\input_images\image_1\crop_0005_conf_0.97.jpg
__Unknown__,True,['low_score'],0.74,0.0,Adoralle__Adoralle Alimentos Rosquinhas Coco,0.5838327288627625,,,,"[('Adoralle__Adoralle Alimentos Rosquinhas Coco', 0.5838327288627625)]","[{'label': 'Adoralle__Adoralle Alimentos Rosquinhas Coco', 'score': 0.5930721163749695, 'path': 'data/datasetv6_crops\\Adoralle\\Adoralle Alimentos Rosquinhas Coco\\train_IMG_0484-REDACTED_jpeg.rf.8ace1d1de4156ba5b78fb0e1d45bc3c8_crop_22.jpg'}, {'label': 'Adoralle__Adoralle Alimentos Rosquinhas Coco', 'score': 0.5873920321464539, 'path': 'data/datasetv6_crops\\Adoralle\\Adoralle Alimentos Rosquinhas Coco\\crop_00174_IMG_20260610_111623939_jpg.rf.3ab52977b4bcdded408dd84594455fd0_cls0_obj18.jpg'}, {'label': 'Adoralle__Adoralle Alimentos Rosquinhas Coco', 'score': 0.5821070671081543, 'path': 'data/datasetv6_crops\\Adoralle\\Adoralle Alimentos Rosquinhas Coco\\train_IMG_0484-REDACTED_jpeg.rf.8ace1d1de4156ba5b78fb0e1d45bc3c8_crop_2.jpg'}, {'label': 'Adoralle__Adoralle Alimentos Rosquinhas Coco', 'score': 0.5798868536949158, 'path': 'data/datasetv6_crops\\Adoralle\\Adoralle Alimentos Rosquinhas Coco\\crop_00176_IMG_20260610_111623939_jpg.rf.3ab52977b4bcdded408dd84594455fd0_cls0_obj20.jpg'}, {'label': 'Adoralle__Adoralle Alimentos Rosquinhas Coco', 'score': 0.5767055749893188, 'path': 'data/datasetv6_crops\\Adoralle\\Adoralle Alimentos Rosquinhas Coco\\crop_00180_IMG_20260610_111623939_jpg.rf.3ab52977b4bcdded408dd84594455fd0_cls0_obj24.jpg'}]",data\input_images\image_1\crop_0006_conf_0.97.jpg
__Unknown__,True,['low_score'],0.74,0.0,RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO,0.650658929347992,,,,"[('RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO', 0.650658929347992)]","[{'label': 'RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO', 'score': 0.6700727939605713, 'path': 'data/datasetv6_crops\\RANCHEIRO\\RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO\\crop_00113_IMG_0932_JPG.rf.6b9379287f20aef455e88907324b0998_cls0_obj3.jpg'}, {'label': 'RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO', 'score': 0.6689913868904114, 'path': 'data/datasetv6_crops\\RANCHEIRO\\RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO\\crop_00107_IMG_0859_JPG.rf.5aa256f34fff06f3eb25948617337682_cls0_obj1.jpg'}, {'label': 'RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO', 'score': 0.6542465686798096, 'path': 'data/datasetv6_crops\\RANCHEIRO\\RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO\\crop_00106_IMG_0859_JPG.rf.5aa256f34fff06f3eb25948617337682_cls0_obj0.jpg'}, {'label': 'RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO', 'score': 0.6410619020462036, 'path': 'data/datasetv6_crops\\RANCHEIRO\\RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO\\crop_00112_IMG_0932_JPG.rf.6b9379287f20aef455e88907324b0998_cls0_obj2.jpg'}, {'label': 'RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO', 'score': 0.6189219951629639, 'path': 'data/datasetv6_crops\\RANCHEIRO\\RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO\\train_IMG_2174_jpeg.rf.44f437e7793cd4257e44ac6963886830_crop_15.jpg'}]",data\input_images\image_1\crop_0007_conf_0.97.jpg
Mabel__Mabel Rosquinha Mabel Sabor Coco,False,[],0.68,-0.05999999999999994,Mabel__Mabel Rosquinha Mabel Sabor Coco,0.9263460397720337,,,,"[('Mabel__Mabel Rosquinha Mabel Sabor Coco', 0.9263460397720337)]","[{'label': 'Mabel__Mabel Rosquinha Mabel Sabor Coco', 'score': 0.9627540111541748, 'path': 'data/datasetv6_crops\\Mabel\\Mabel Rosquinha Mabel Sabor Coco\\crop_00093_IMG_0831_JPG.rf.4e39ef000705ae9f589973a99b200d45_cls0_obj5.jpg'}, {'label': 'Mabel__Mabel Rosquinha Mabel Sabor Coco', 'score': 0.9296080470085144, 'path': 'data/datasetv6_crops\\Mabel\\Mabel Rosquinha Mabel Sabor Coco\\crop_00091_IMG_0831_JPG.rf.4e39ef000705ae9f589973a99b200d45_cls0_obj3.jpg'}, {'label': 'Mabel__Mabel Rosquinha Mabel Sabor Coco', 'score': 0.9145652055740356, 'path': 'data/datasetv6_crops\\Mabel\\Mabel Rosquinha Mabel Sabor Coco\\train_IMG_2126_jpeg.rf.e44b339feaf1814e8ff7238fbc31aed4_crop_1.jpg'}, {'label': 'Mabel__Mabel Rosquinha Mabel Sabor Coco', 'score': 0.9145129919052124, 'path': 'data/datasetv6_crops\\Mabel\\Mabel Rosquinha Mabel Sabor Coco\\crop_00092_IMG_0831_JPG.rf.4e39ef000705ae9f589973a99b200d45_cls0_obj4.jpg'}, {'label': 'Mabel__Mabel Rosquinha Mabel Sabor Coco', 'score': 0.9102899432182312, 'path': 'data/datasetv6_crops\\Mabel\\Mabel Rosquinha Mabel Sabor Coco\\crop_00017_IMG_20260610_115355437_jpg.rf.74e628d4b1a310cf28354aaf4f6be1dc_cls0_obj17.jpg'}]",data\input_images\image_1\crop_0008_conf_0.97.jpg
__Unknown__,True,['low_score'],0.74,0.0,RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO,0.6272470116615295,,,,"[('RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO', 0.6272470116615295)]","[{'label': 'RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO', 'score': 0.6492565274238586, 'path': 'data/datasetv6_crops\\RANCHEIRO\\RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO\\crop_00113_IMG_0932_JPG.rf.6b9379287f20aef455e88907324b0998_cls0_obj3.jpg'}, {'label': 'RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO', 'score': 0.6433202624320984, 'path': 'data/datasetv6_crops\\RANCHEIRO\\RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO\\crop_00107_IMG_0859_JPG.rf.5aa256f34fff06f3eb25948617337682_cls0_obj1.jpg'}, {'label': 'RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO', 'score': 0.6383493542671204, 'path': 'data/datasetv6_crops\\RANCHEIRO\\RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO\\crop_00106_IMG_0859_JPG.rf.5aa256f34fff06f3eb25948617337682_cls0_obj0.jpg'}, {'label': 'RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO', 'score': 0.6123641729354858, 'path': 'data/datasetv6_crops\\RANCHEIRO\\RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO\\crop_00112_IMG_0932_JPG.rf.6b9379287f20aef455e88907324b0998_cls0_obj2.jpg'}, {'label': 'RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO', 'score': 0.5929447412490845, 'path': 'data/datasetv6_crops\\RANCHEIRO\\RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO\\train_1_jpg.rf.a16f72e270cb47d97c21936e105f48a1_crop_15.jpg'}]",data\input_images\image_1\crop_0009_conf_0.97.jpg
Mabel__Mabel Rosquinha Mabel Sabor Coco,False,[],0.68,-0.05999999999999994,Mabel__Mabel Rosquinha Mabel Sabor Coco,0.8493047237396241,,,,"[('Mabel__Mabel Rosquinha Mabel Sabor Coco', 0.8493047237396241)]","[{'label': 'Mabel__Mabel Rosquinha Mabel Sabor Coco', 'score': 0.9556377530097961, 'path': 'data/datasetv6_crops\\Mabel\\Mabel Rosquinha Mabel Sabor Coco\\crop_00095_IMG_0831_JPG.rf.4e39ef000705ae9f589973a99b200d45_cls0_obj7.jpg'}, {'label': 'Mabel__Mabel Rosquinha Mabel Sabor Coco', 'score': 0.8321259021759033, 'path': 'data/datasetv6_crops\\Mabel\\Mabel Rosquinha Mabel Sabor Coco\\crop_00161_IMG_20260610_111623939_jpg.rf.3ab52977b4bcdded408dd84594455fd0_cls0_obj5.jpg'}, {'label': 'Mabel__Mabel Rosquinha Mabel Sabor Coco', 'score': 0.8233434557914734, 'path': 'data/datasetv6_crops\\Mabel\\Mabel Rosquinha Mabel Sabor Coco\\crop_00156_IMG_20260610_111623939_jpg.rf.3ab52977b4bcdded408dd84594455fd0_cls0_obj0.jpg'}, {'label': 'Mabel__Mabel Rosquinha Mabel Sabor Coco', 'score': 0.8226274847984314, 'path': 'data/datasetv6_crops\\Mabel\\Mabel Rosquinha Mabel Sabor Coco\\crop_00058_IMG_0888_HEIC.rf.c3a0a7002d6d346f2dba44a26eb9d1e4_cls0_obj5.jpg'}, {'label': 'Mabel__Mabel Rosquinha Mabel Sabor Coco', 'score': 0.8127890229225159, 'path': 'data/datasetv6_crops\\Mabel\\Mabel Rosquinha Mabel Sabor Coco\\crop_00018_IMG_20260610_115355437_jpg.rf.74e628d4b1a310cf28354aaf4f6be1dc_cls0_obj18.jpg'}]",data\input_images\image_1\crop_0010_conf_0.97.jpg
