label,global_threshold,selected_threshold,offset,selection_reason,known_count,global_known_accept_rate,known_accept_rate,global_known_accuracy_on_all,known_accuracy_on_all,global_known_accuracy_on_accepted,known_accuracy_on_accepted,accepted_count,correct_accepted_count,global_known_precision_on_accepted,known_precision_on_accepted,recovered_correct_count,lost_correct_count,global_known_error_accept_count,known_error_accept_count,added_known_error_count,removed_known_error_count,class_unknown_count,global_unknown_false_accept_count,unknown_false_accept_count,added_unknown_accept_count,removed_unknown_false_accept_count,global_class_unknown_false_accept_rate,class_unknown_false_accept_rate,pre_budget_selected_threshold,rolled_back_for_global_unknown_budget,calibration_global_unknown_false_accept_count,calibration_dynamic_unknown_false_accept_count,calibration_allowed_unknown_false_accept_count,calibration_unknown_count,calibration_global_unknown_false_accept_rate,calibration_dynamic_unknown_false_accept_rate,min_class_unknown_samples,max_added_unknown_accepts,max_unknown_false_accept_rate_increase,max_raise_steps,target_class_unknown_false_accept_rate,max_known_correct_accept_rate_drop,known_false_reject_rate,predicted_known_count,predicted_known_accept_count,predicted_known_correct_accept_count,unknown_count,unknown_false_accept_rate,meets_target_accept_rate,meets_target_class_unknown_false_accept_rate,global_unknown_false_accept_rate,target_accept_rate
RANCHEIRO__RANCHEIRO ROSQUINHA RECHEADA DE MORANGO-CARAMELO RANCHEIRO,0.71,0.62,-0.08999999999999997,lowered_unknown_safe_recovers_accept_rate,17,0.7647058823529411,1.0,0.7058823529411765,0.8823529411764706,0.9230769230769231,0.8823529411764706,17,15,1.0,1.0,3,0,0,0,0,0,14,0,0,0,0,0.0,0.0,0.62,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,15,15,15,500,0.0,True,True,0.0,0.98
RANCHEIRO__RANCHEIRO BOX,0.71,0.64,-0.06999999999999995,lowered_unknown_safe_recovers_accept_rate,23,0.8260869565217391,1.0,0.6521739130434783,0.8260869565217391,0.7894736842105263,0.8260869565217391,23,19,1.0,1.0,4,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.64,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,19,19,19,500,0.0,True,True,0.0,0.98
RANCHEIRO__RANCHEIRO ROSQUINHA RECHEADA DE CHOCOLATE RANCHEIRO,0.71,0.64,-0.06999999999999995,lowered_unknown_safe_recovers_accept_rate,43,0.9302325581395349,1.0,0.9302325581395349,1.0,1.0,1.0,43,43,0.9090909090909091,0.9148936170212766,3,0,4,4,0,0,9,0,0,0,0,0.0,0.0,0.64,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,47,47,43,500,0.0,True,True,0.0,0.98
RANCHEIRO__RANCHEIRO COOKIES CHOCOLATE RANCHEIRO,0.71,0.67,-0.039999999999999925,lowered_unknown_safe_recovers_accept_rate,12,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666666,0.9090909090909091,0.9166666666666666,12,11,0.6666666666666666,0.6875,1,0,5,5,0,0,6,0,0,0,0,0.0,0.0,0.67,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,16,16,11,500,0.0,True,True,0.0,0.98
RANCHEIRO__RANCHEIRO WAFER RANCHEIRO MORANGO,0.71,0.67,-0.039999999999999925,lowered_unknown_safe_recovers_accept_rate,20,0.9,1.0,0.9,1.0,1.0,1.0,20,20,1.0,1.0,2,0,0,0,0,0,15,0,0,0,0,0.0,0.0,0.67,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,20,20,20,500,0.0,True,True,0.0,0.98
RANCHEIRO__RANCHEIRO ROSQUINHA RECHEADA DE BAUNILHA RANCHEIRO,0.71,0.68,-0.029999999999999916,lowered_unknown_safe_recovers_accept_rate,34,0.8823529411764706,1.0,0.8529411764705882,0.9117647058823529,0.9666666666666667,0.9117647058823529,34,31,0.7837837837837838,0.7948717948717948,2,0,8,8,0,0,16,0,0,0,0,0.0,0.0,0.68,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,39,39,31,500,0.0,True,True,0.0,0.98
RANCHEIRO__RANCHEIRO ROSQ RECHEADA RANCHEIRO CHOC-COCO,0.71,0.69,-0.020000000000000018,lowered_unknown_safe_recovers_accept_rate,24,0.9583333333333334,1.0,0.9583333333333334,1.0,1.0,1.0,24,24,1.0,1.0,1,0,0,0,0,0,14,0,0,0,0,0.0,0.0,0.69,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,25,24,24,500,0.0,True,True,0.0,0.98
Mabel__Mabel Rosquinha Mabel Sabor Leite,0.71,0.7,-0.010000000000000009,lowered_unknown_safe_recovers_accept_rate,21,0.9523809523809523,1.0,0.9523809523809523,1.0,1.0,1.0,21,21,0.9523809523809523,0.9545454545454546,1,0,1,1,0,0,2,0,0,0,0,0.0,0.0,0.7,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,22,22,21,500,0.0,True,True,0.0,0.98
RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO,0.71,0.7,-0.010000000000000009,lowered_unknown_safe_recovers_accept_rate,18,0.9444444444444444,1.0,0.9444444444444444,1.0,1.0,1.0,18,18,0.9444444444444444,0.9473684210526315,1,0,1,1,0,0,23,0,0,0,0,0.0,0.0,0.7,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,19,19,18,500,0.0,True,True,0.0,0.98
Adoralle__Adoralle Alimentos Cream Cracker,0.71,0.71,0.0,keep_global,27,1.0,1.0,1.0,1.0,1.0,1.0,27,27,1.0,1.0,0,0,0,0,0,0,20,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,27,27,27,500,0.0,True,True,0.0,0.98
